user_id,subscription_start,subscription_end,payment_status,login_frequency,time_spent,feature_usage,churned
51,2023-01-14,2023-03-09,pending,6,13.53,22.6,Yes
52,2023-08-30,,successful,26,18.01,34.91,No
53,2023-09-22,2023-12-13,successful,11,13.1,97.44,Yes
54,2023-12-12,,successful,3,12.66,39.82,No
55,2023-02-22,,successful,8,2.27,53.38,No
56,2023-12-06,2024-02-15,successful,14,10.85,27.65,Yes
57,2023-04-02,,successful,14,3.85,64.97,No
58,2023-09-21,,successful,10,15.01,35.26,No
59,2023-02-04,2023-08-15,successful,2,10.73,28.63,Yes
60,2023-07-25,,successful,14,13.92,56.49,No
61,2023-03-22,,successful,9,1.79,10.5,No
62,2023-02-19,2023-06-04,successful,3,2.61,10.69,Yes
63,2023-12-26,,successful,21,14.61,29.72,No
64,2023-01-02,,successful,26,2.37,13.3,No
65,2023-02-23,,successful,8,2.35,19.72,No
66,2023-04-16,,successful,16,1.23,40.5,No
67,2023-09-17,,successful,2,19.17,82.23,No
68,2023-11-06,2024-09-13,successful,6,15.01,61.48,Yes
69,2023-07-10,,successful,28,7.71,56.14,No
70,2023-08-06,2024-02-16,failed,21,6.63,36.41,Yes
71,2023-02-13,2023-07-28,successful,29,7.64,93.86,Yes
72,2023-06-11,,successful,26,15.72,45.73,No
73,2023-07-21,,successful,25,13.57,17.84,No
74,2023-09-27,,successful,12,4.52,65.54,No
75,2023-12-17,,successful,5,4.31,20.25,No
76,2023-10-31,,successful,2,2.87,41.07,No
77,2023-09-28,,successful,16,13.55,55.67,No
78,2023-08-03,,successful,5,15.52,88.68,No
79,2023-09-09,2024-04-07,successful,15,6.04,54.42,Yes
80,2023-07-09,,successful,12,1.4,73.2,No
81,2023-10-23,2023-12-10,failed,4,2.56,99.35,Yes
82,2023-08-01,2024-02-19,successful,15,19.39,21.83,Yes
83,2023-07-27,2024-04-01,successful,11,6.61,34.73,Yes
84,2023-08-25,,pending,16,15.62,45.51,No
85,2023-12-04,,successful,23,12.87,47.96,No
86,2023-02-22,,successful,6,8.26,46.99,No
87,2023-10-07,,successful,14,4.91,91.68,No
88,2023-08-05,,failed,18,3.31,74.26,No
89,2023-09-09,,successful,12,12.69,64.71,No
90,2023-07-07,2024-02-12,successful,27,15.72,37.84,Yes
91,2023-02-10,,successful,11,13.23,84.14,No
92,2023-06-06,2023-10-30,successful,13,11.08,95.96,Yes
93,2023-01-15,,successful,21,1.8,83.91,No
94,2023-10-28,2024-05-04,successful,23,19.4,10.14,Yes
95,2023-03-06,,successful,11,16.18,67.28,No
96,2023-12-11,,successful,23,6.56,14.6,No
97,2023-11-23,2024-07-22,successful,16,19.62,33.18,Yes
98,2023-01-09,,successful,15,12.44,15.36,No
99,2023-12-10,2024-08-22,successful,21,12.07,64.34,Yes
100,2023-05-09,,successful,28,15.21,71.79,No
101,2023-05-16,2023-07-31,successful,15,16.42,20.3,Yes
102,2023-03-04,,successful,25,13.47,44.55,No
103,2023-05-19,,successful,4,3.43,51.06,No
104,2023-03-22,,successful,11,7.43,43.21,No
105,2023-06-12,,failed,19,18.63,20.89,No
106,2023-10-16,,successful,15,5.27,47.71,No
107,2023-09-18,,successful,4,8.07,77.61,No
108,2023-08-19,2023-09-29,successful,21,9.21,16.39,Yes
109,2023-02-10,,failed,13,9.35,17.22,No
110,2023-01-28,2023-08-01,successful,22,12.65,41.93,Yes
111,2023-05-15,,successful,19,18.92,94.76,No
112,2023-07-20,2024-01-29,successful,2,5.57,70.17,Yes
113,2023-11-24,,successful,14,3.31,71.08,No
114,2023-09-25,,pending,29,4.75,42.57,No
115,2023-02-02,,successful,4,17.85,63.43,No
116,2023-02-17,2023-04-28,successful,16,13.27,10.91,Yes
117,2023-03-03,2023-08-24,successful,21,6.43,67.25,Yes
118,2023-08-04,2024-04-01,pending,20,16.5,92.2,Yes
119,2023-10-20,,failed,14,17.37,65.13,No
120,2023-04-09,2023-06-23,successful,27,17.08,88.63,Yes
121,2023-06-21,2023-10-10,failed,29,18.46,75.16,Yes
122,2023-12-26,,pending,15,5.79,20.85,No
123,2023-08-02,,successful,28,15.35,91.22,No
124,2023-02-04,,successful,3,9.75,15.98,No
125,2023-08-15,2024-06-25,successful,8,17.0,58.06,Yes
126,2023-04-11,,successful,16,14.84,22.79,No
127,2023-05-11,2023-10-06,successful,10,15.75,11.05,Yes
128,2023-09-14,,successful,4,13.47,47.98,No
129,2023-01-05,,successful,18,4.37,36.55,No
130,2023-08-06,,successful,2,11.36,53.74,No
131,2023-09-12,,successful,17,19.71,61.95,No
132,2023-12-25,,successful,13,18.81,13.94,No
133,2023-10-10,,pending,4,1.82,21.07,No
134,2023-07-26,,successful,26,4.13,60.28,No
135,2023-01-15,,successful,25,3.5,40.89,No
136,2023-12-12,,successful,11,14.79,75.63,No
137,2023-02-11,2023-06-25,successful,7,16.54,68.71,Yes
138,2023-06-28,,successful,12,5.06,86.1,No
139,2023-03-04,2024-02-07,successful,10,10.61,72.32,Yes
140,2023-12-18,,successful,7,16.97,48.69,No
141,2023-08-19,,successful,13,14.92,70.57,No
142,2023-08-29,,successful,7,11.3,34.78,No
143,2023-02-21,,successful,24,12.22,37.57,No
144,2023-04-06,,pending,17,10.66,81.01,No
145,2023-08-10,,failed,10,6.65,50.18,No
146,2023-08-19,,successful,29,11.74,81.85,No
147,2023-08-25,,successful,10,14.09,84.02,No
148,2023-05-23,2023-09-07,successful,24,17.59,87.18,Yes
149,2023-06-20,2023-07-20,successful,4,13.09,92.5,Yes
150,2023-01-29,,failed,20,15.46,48.79,No
151,2023-02-05,,failed,4,4.04,38.7,No
152,2023-01-13,2023-11-26,successful,22,9.77,62.4,Yes
153,2023-06-09,2023-10-11,successful,7,1.18,43.41,Yes
154,2023-11-23,2024-05-24,successful,22,5.69,64.1,Yes
155,2023-07-06,,successful,1,14.8,73.5,No
156,2023-08-31,,successful,12,19.84,71.96,No
157,2023-03-27,,failed,24,2.88,43.71,No
158,2023-10-11,,successful,13,8.63,25.02,No
159,2023-03-07,,successful,10,16.2,48.75,No
160,2023-06-19,,failed,15,4.88,22.83,No
161,2023-02-14,2023-11-21,successful,27,11.55,90.11,Yes
162,2023-03-03,,successful,13,14.93,41.13,No
163,2023-05-14,2024-04-10,successful,23,12.7,23.9,Yes
164,2023-10-11,,successful,22,4.57,12.29,No
165,2023-01-28,,successful,22,7.75,68.12,No
166,2023-04-18,,successful,21,15.89,67.32,No
167,2023-02-13,,successful,22,11.53,40.65,No
168,2023-12-06,,pending,28,1.1,16.45,No
169,2023-10-13,,successful,9,15.46,46.87,No
170,2023-11-27,,failed,26,1.67,38.01,No
171,2023-05-08,,pending,9,15.17,70.94,No
172,2023-12-14,,successful,15,4.85,64.52,No
173,2023-08-19,,failed,10,19.2,42.81,No
174,2023-07-09,2024-06-10,successful,24,7.99,29.61,Yes
175,2023-08-13,,failed,26,7.21,98.92,No
176,2023-10-10,,successful,25,3.83,50.86,No
177,2023-05-01,,successful,29,6.81,71.94,No
178,2023-04-26,2023-09-08,successful,10,17.66,22.65,Yes
179,2023-08-21,,failed,8,19.93,53.7,No
180,2023-09-16,,successful,24,8.0,12.48,No
181,2023-12-25,2024-07-25,successful,16,9.52,55.49,Yes
182,2023-07-17,,failed,17,14.72,96.76,No
183,2023-05-17,,successful,26,17.84,44.58,No
184,2023-11-14,2024-02-20,successful,27,12.27,13.51,Yes
185,2023-06-14,,successful,5,8.44,12.79,No
186,2023-08-13,,successful,4,8.84,44.92,No
187,2023-11-03,,successful,18,14.22,24.4,No
188,2023-08-22,,failed,24,1.06,12.1,No
189,2023-06-21,2023-11-08,successful,19,12.77,78.06,Yes
190,2023-06-01,2023-12-30,successful,4,7.75,51.27,Yes
191,2023-11-11,,successful,28,16.09,36.03,No
192,2023-06-09,,failed,7,2.77,91.01,No
193,2023-04-06,,pending,10,12.18,20.45,No
194,2023-08-21,2024-03-21,successful,25,10.14,96.03,Yes
195,2023-06-29,,failed,18,13.2,38.26,No
196,2023-04-23,,successful,19,2.23,89.96,No
197,2023-11-14,,successful,4,12.02,64.26,No
198,2023-02-21,,successful,10,11.67,84.4,No
199,2023-09-25,,failed,1,11.65,98.56,No
200,2023-10-22,2024-08-23,successful,23,12.47,35.96,Yes
201,2023-04-23,2023-08-22,successful,18,13.85,96.5,Yes
202,2023-04-11,,successful,5,16.29,45.05,No
203,2023-04-23,2024-04-12,successful,15,6.13,44.7,Yes
204,2023-03-22,2023-12-09,successful,17,16.68,40.63,Yes
205,2023-07-06,,successful,3,10.47,58.73,No
206,2023-04-23,,successful,12,2.46,23.87,No
207,2023-01-02,2023-09-06,successful,2,2.11,59.83,Yes
208,2023-05-10,,successful,1,7.35,58.75,No
209,2023-08-08,2024-05-12,successful,23,15.91,78.57,Yes
210,2023-02-23,,successful,21,14.45,85.03,No
211,2023-12-09,,successful,17,15.98,49.64,No
212,2023-08-12,,successful,22,10.83,37.21,No
213,2023-08-13,2023-10-29,successful,16,9.36,33.34,Yes
214,2023-05-06,2023-06-30,successful,5,3.8,27.52,Yes
215,2023-05-10,,successful,15,7.24,15.19,No
216,2023-02-22,2023-12-01,successful,3,9.25,40.82,Yes
217,2023-06-21,,successful,28,2.68,34.32,No
218,2023-08-06,,successful,7,5.19,96.98,No
219,2023-06-09,,successful,11,12.37,60.19,No
220,2023-07-17,2023-09-12,successful,10,14.98,41.25,Yes
221,2023-09-04,,successful,9,19.97,62.24,No
222,2023-11-20,,successful,14,18.73,22.53,No
223,2023-07-22,,failed,13,13.21,49.96,No
224,2023-07-03,2024-06-08,successful,29,9.0,66.36,Yes
225,2023-05-03,2023-06-04,successful,25,13.09,54.0,Yes
226,2023-09-12,,successful,25,15.93,46.16,No
227,2023-10-21,,successful,2,3.25,99.45,No
228,2023-10-07,,successful,3,8.79,89.23,No
229,2023-11-21,2024-10-09,successful,7,16.96,66.11,Yes
230,2023-04-08,,failed,21,8.29,61.24,No
231,2023-07-17,2023-12-12,pending,18,11.87,65.86,Yes
232,2023-08-28,,successful,3,12.17,28.12,No
233,2023-05-24,2024-03-21,successful,10,4.51,45.56,Yes
234,2023-04-07,2023-09-09,successful,22,7.88,13.55,Yes
235,2023-07-20,2024-01-10,successful,29,7.36,52.8,Yes
236,2023-05-04,,successful,7,1.5,58.87,No
237,2023-07-06,,successful,9,1.46,30.5,No
238,2023-11-22,,successful,17,16.8,96.76,No
239,2023-12-15,,successful,11,6.19,91.85,No
240,2023-09-16,,successful,7,10.84,74.99,No
241,2023-05-28,,successful,24,6.68,58.0,No
242,2023-09-09,,successful,28,18.87,88.3,No
243,2023-12-12,,successful,14,5.93,21.76,No
244,2023-05-27,,successful,19,9.16,81.15,No
245,2023-05-28,,failed,4,17.58,21.23,No
246,2023-12-18,,successful,26,17.0,81.48,No
247,2023-07-18,,failed,6,4.54,34.82,No
248,2023-11-04,,successful,10,16.25,88.94,No
249,2023-05-08,,successful,7,9.71,94.96,No
250,2023-02-08,2024-01-18,successful,13,10.18,23.39,Yes
251,2023-12-04,,successful,14,3.54,51.64,No
252,2023-12-26,,successful,4,2.53,98.29,No
253,2023-05-09,2023-11-04,successful,8,14.83,53.51,Yes
254,2023-09-24,2024-01-01,successful,5,10.43,87.72,Yes
255,2023-05-31,2023-07-03,failed,1,9.3,62.99,Yes
256,2023-10-25,,pending,4,14.86,43.78,No
257,2023-04-09,2023-08-11,successful,3,15.54,35.72,Yes
258,2023-09-20,2024-03-04,successful,9,4.02,28.29,Yes
259,2023-09-09,2024-06-07,failed,8,12.59,78.56,Yes
260,2023-05-24,2024-02-06,failed,1,3.57,44.79,Yes
261,2023-12-12,,pending,27,15.28,56.01,No
262,2023-04-22,2024-04-07,successful,6,13.48,54.31,Yes
263,2023-03-01,,successful,9,19.18,61.96,No
264,2023-01-02,,successful,7,2.31,87.9,No
265,2023-10-31,2024-03-26,successful,4,2.08,98.27,Yes
266,2023-09-11,2023-12-11,successful,13,6.36,46.68,Yes
267,2023-05-20,,successful,17,5.97,84.48,No
268,2023-02-06,,successful,28,5.69,78.81,No
269,2023-06-09,,failed,2,18.22,61.62,No
270,2023-01-09,2023-12-04,successful,28,5.74,96.04,Yes
271,2023-08-21,2024-01-15,successful,5,6.17,28.04,Yes
272,2023-04-09,,successful,12,15.43,19.83,No
273,2023-05-27,2023-07-15,successful,27,9.55,86.86,Yes
274,2023-10-31,2024-01-15,successful,21,15.76,49.52,Yes
275,2023-07-27,,successful,8,2.24,86.23,No
276,2023-05-11,,successful,6,10.26,90.38,No
277,2023-06-01,2023-11-16,successful,8,1.64,15.62,Yes
278,2023-02-23,,successful,18,2.19,89.51,No
279,2023-04-30,,successful,3,18.22,50.35,No
280,2023-06-10,,successful,22,3.65,55.94,No
281,2023-04-26,,successful,12,11.12,66.39,No
282,2023-03-16,,successful,29,8.81,93.37,No
283,2023-04-23,,failed,26,7.6,11.72,No
284,2023-04-14,,pending,3,18.1,52.92,No
285,2023-12-06,2024-06-20,successful,22,1.41,71.89,Yes
286,2023-09-11,,successful,6,13.61,75.04,No
287,2023-08-15,2023-12-23,successful,2,19.3,72.33,Yes
288,2023-04-22,2024-02-10,successful,23,11.64,22.1,Yes
289,2023-04-09,,successful,12,18.8,36.95,No
290,2023-06-02,,successful,2,1.99,42.28,No
291,2023-12-15,,successful,6,8.96,82.4,No
292,2023-12-04,,successful,17,5.94,35.09,No
293,2023-07-13,,successful,3,14.89,28.96,No
294,2023-11-06,,successful,2,19.64,96.17,No
295,2023-06-12,,successful,23,5.87,10.8,No
296,2023-07-27,2024-01-09,successful,20,13.43,99.8,Yes
297,2023-06-18,2023-08-21,successful,8,4.76,70.91,Yes
298,2023-06-10,,pending,22,11.74,84.56,No
299,2023-03-09,,successful,12,9.81,36.52,No
300,2023-10-16,2024-10-07,successful,26,19.47,11.29,Yes
301,2023-10-04,,successful,4,12.56,76.41,No
302,2023-10-31,,successful,5,7.64,85.07,No
303,2023-05-15,,pending,13,3.17,76.64,No
304,2023-07-14,,successful,29,3.87,22.86,No
305,2023-05-08,2023-08-23,successful,15,5.28,77.81,Yes
306,2023-02-02,,successful,25,5.77,79.2,No
307,2023-06-25,,pending,23,17.16,69.27,No
308,2023-01-22,,failed,16,11.66,78.95,No
309,2023-08-26,,successful,10,10.94,86.13,No
310,2023-06-07,,successful,25,3.18,65.22,No
311,2023-02-07,,successful,23,17.34,17.97,No
312,2023-08-18,,successful,16,14.73,53.89,No
313,2023-12-31,,successful,12,2.29,16.99,No
314,2023-02-20,,successful,17,14.45,46.68,No
315,2023-09-21,,successful,16,11.33,46.64,No
316,2023-10-10,,successful,12,2.55,15.94,No
317,2023-01-27,2023-10-08,successful,8,9.71,41.39,Yes
318,2023-08-14,,successful,20,10.21,19.99,No
319,2023-10-04,,failed,3,4.15,82.74,No
320,2023-10-13,2024-02-23,successful,16,18.97,95.29,Yes
321,2023-04-07,,successful,13,17.15,16.51,No
322,2023-10-11,2024-03-22,failed,23,13.71,95.96,Yes
323,2023-11-13,,successful,28,9.78,57.03,No
324,2023-10-31,,successful,19,8.82,36.96,No
325,2023-05-27,,successful,8,13.37,16.92,No
326,2023-01-04,2023-05-24,successful,22,11.36,55.06,Yes
327,2023-02-04,,pending,5,2.18,81.51,No
328,2023-07-11,,successful,20,10.74,73.64,No
329,2023-02-18,,successful,8,16.32,14.52,No
330,2023-01-17,,successful,24,9.73,16.56,No
331,2023-06-21,2023-10-25,successful,12,1.99,46.26,Yes
332,2023-08-08,,successful,1,15.94,36.58,No
333,2023-06-07,,pending,25,4.83,30.91,No
334,2023-02-15,2023-09-28,successful,21,5.91,35.29,Yes
335,2023-01-06,,failed,20,4.13,82.31,No
336,2023-04-09,,successful,6,7.27,93.63,No
337,2023-08-21,,successful,22,15.38,46.46,No
338,2023-02-06,,successful,18,10.87,91.55,No
339,2023-10-07,,successful,8,4.89,38.93,No
340,2023-12-15,2024-08-28,failed,7,17.68,52.88,Yes
341,2023-10-29,,failed,1,17.71,30.34,No
342,2023-06-30,,successful,21,17.54,67.64,No
343,2023-04-05,,successful,16,5.54,98.11,No
344,2023-04-09,,successful,12,9.57,64.31,No
345,2023-07-07,,successful,6,19.71,42.2,No
346,2023-04-26,,successful,20,15.67,68.3,No
347,2023-07-10,,successful,2,1.52,21.06,No
348,2023-09-10,2024-02-01,successful,29,2.24,89.98,Yes
349,2023-06-10,,successful,14,9.81,55.28,No
350,2023-09-13,,successful,4,18.28,50.44,No
351,2023-11-19,2024-02-25,successful,1,11.24,62.73,Yes
352,2023-05-08,,successful,23,10.46,66.23,No
353,2023-01-18,,successful,18,3.0,16.46,No
354,2023-10-08,,successful,13,13.48,71.44,No
355,2023-08-11,2023-10-02,successful,2,16.62,31.77,Yes
356,2023-02-23,,successful,9,8.23,74.26,No
357,2023-02-27,,successful,21,15.74,84.03,No
358,2023-11-19,2024-05-07,successful,2,19.33,82.36,Yes
359,2023-12-26,2024-08-21,successful,27,4.87,59.73,Yes
360,2023-06-23,,successful,25,10.94,56.82,No
361,2023-10-07,2024-09-16,successful,9,6.46,22.86,Yes
362,2023-04-24,,failed,1,16.06,79.78,No
363,2023-10-15,2024-10-02,successful,11,11.97,34.43,Yes
364,2023-12-08,,successful,3,13.06,54.7,No
365,2023-05-31,2023-11-03,successful,20,16.16,35.58,Yes
366,2023-05-07,2023-09-05,successful,23,8.52,22.04,Yes
367,2023-06-04,,successful,26,18.39,66.66,No
368,2023-09-30,2023-12-19,successful,4,11.13,14.89,Yes
369,2023-04-14,,successful,18,4.0,77.38,No
370,2023-10-26,,successful,23,14.22,38.58,No
371,2023-09-03,,successful,6,16.07,10.01,No
372,2023-06-25,,successful,3,7.02,56.0,No
373,2023-02-08,2023-06-27,successful,22,17.29,14.22,Yes
374,2023-06-19,2024-05-26,successful,11,18.22,34.86,Yes
375,2023-09-04,,successful,15,6.26,73.63,No
376,2023-01-26,,successful,22,19.69,15.64,No
377,2023-12-21,2024-06-16,successful,28,3.67,85.54,Yes
378,2023-11-02,,pending,5,4.84,10.34,No
379,2023-01-13,,successful,20,4.5,32.21,No
380,2023-11-12,2024-10-19,successful,10,17.99,76.68,Yes
381,2023-11-09,2024-09-24,successful,12,13.43,38.46,Yes
382,2023-02-05,,successful,15,3.89,19.17,No
383,2023-06-22,,successful,17,9.37,42.42,No
384,2023-01-20,,successful,10,12.69,34.34,No
385,2023-11-17,,successful,6,2.59,85.84,No
386,2023-09-21,,successful,18,17.77,38.2,No
387,2023-05-22,,successful,13,16.27,81.0,No
388,2023-05-23,,successful,3,10.6,90.27,No
389,2023-04-02,2024-01-07,successful,24,19.38,49.04,Yes
390,2023-12-20,2024-06-18,successful,10,8.94,91.89,Yes
391,2023-11-18,,successful,14,19.7,43.96,No
392,2023-10-15,2024-04-22,successful,6,13.69,96.77,Yes
393,2023-08-03,,successful,3,13.06,18.04,No
394,2023-12-08,,pending,16,4.15,71.83,No
395,2023-02-20,,successful,7,17.76,54.44,No
396,2023-06-02,2023-08-19,successful,20,9.12,44.89,Yes
397,2023-07-05,2023-10-26,successful,14,4.08,66.94,Yes
398,2023-03-04,,successful,9,1.24,73.35,No
399,2023-07-09,,successful,15,11.64,10.39,No
400,2023-05-05,,successful,21,11.02,25.03,No
401,2023-05-30,,successful,3,14.67,74.17,No
402,2023-11-10,2024-10-31,successful,2,17.91,69.97,Yes
403,2023-02-27,,successful,27,2.51,96.94,No
404,2023-12-08,2024-08-08,successful,2,14.9,78.49,Yes
405,2023-11-01,,successful,3,4.56,95.57,No
406,2023-06-29,,successful,18,17.31,73.23,No
407,2023-06-19,,successful,14,16.56,36.82,No
408,2023-11-22,,successful,20,11.28,19.48,No
409,2023-09-28,,successful,18,14.49,80.36,No
410,2023-02-23,,successful,10,6.97,67.97,No
411,2023-04-11,,successful,25,9.95,14.34,No
412,2023-09-21,,successful,2,16.61,42.4,No
413,2023-02-22,2023-09-14,successful,25,9.73,96.11,Yes
414,2023-03-01,,successful,29,7.8,55.04,No
415,2023-04-18,,successful,22,10.39,48.95,No
416,2023-01-05,,successful,1,16.74,51.19,No
417,2023-04-13,,successful,4,7.37,28.8,No
418,2023-07-15,,successful,14,4.3,43.18,No
419,2023-09-19,2024-07-08,failed,1,14.53,43.28,Yes
420,2023-12-31,,successful,14,16.69,14.71,No
421,2023-12-16,,successful,16,2.91,79.08,No
422,2023-02-16,,successful,22,5.56,47.49,No
423,2023-12-21,2024-06-29,successful,14,3.7,84.0,Yes
424,2023-11-07,,successful,29,7.61,86.53,No
425,2023-11-04,2024-09-16,successful,20,9.56,29.08,Yes
426,2023-05-24,,failed,3,15.23,69.16,No
427,2023-09-26,,successful,3,13.37,52.51,No
428,2023-05-04,2024-02-04,successful,9,12.8,89.21,Yes
429,2023-04-16,2024-01-25,successful,6,7.7,29.42,Yes
430,2023-06-07,2023-08-29,successful,25,16.99,71.0,Yes
431,2023-05-27,,successful,13,9.95,64.7,No
432,2023-05-25,,successful,21,19.6,36.58,No
433,2023-04-30,,successful,2,13.05,22.29,No
434,2023-11-15,,failed,8,3.4,68.65,No
435,2023-10-02,,successful,21,13.85,76.47,No
436,2023-04-02,,successful,2,7.18,38.41,No
437,2023-02-27,,successful,4,14.04,68.03,No
438,2023-12-12,,successful,25,2.32,45.56,No
439,2023-08-17,,successful,15,4.32,74.19,No
440,2023-04-27,,successful,4,17.26,27.93,No
441,2023-11-14,,successful,13,5.32,90.12,No
442,2023-10-06,2024-06-14,successful,28,16.9,35.87,Yes
443,2023-05-07,,successful,12,6.31,43.1,No
444,2023-05-09,2024-05-02,failed,28,13.21,15.23,Yes
445,2023-02-27,2023-08-26,successful,13,14.19,20.04,Yes
446,2023-05-02,,successful,14,10.74,56.43,No
447,2023-01-01,2023-03-07,successful,20,6.8,34.08,Yes
448,2023-08-27,,pending,18,5.04,85.19,No
449,2023-10-17,,successful,29,1.63,11.32,No
450,2023-04-06,,successful,28,6.77,44.12,No
451,2023-05-06,,successful,6,13.41,40.36,No
452,2023-04-28,,successful,29,18.83,11.74,No
453,2023-02-17,,successful,11,17.55,21.19,No
454,2023-03-30,,successful,2,15.56,47.23,No
455,2023-08-25,2023-10-13,successful,28,15.98,54.36,Yes
456,2023-09-29,,successful,23,13.63,46.39,No
457,2023-07-08,,successful,19,5.95,57.78,No
458,2023-07-11,,successful,19,18.24,63.56,No
459,2023-03-10,,successful,5,13.74,10.89,No
460,2023-10-05,2024-08-09,successful,19,11.65,51.77,Yes
461,2023-12-15,2024-06-19,successful,2,3.11,96.71,Yes
462,2023-09-04,,successful,10,9.49,56.71,No
463,2023-03-17,,successful,25,9.75,70.98,No
464,2023-06-03,,pending,2,17.43,38.07,No
465,2023-05-24,,successful,11,11.39,79.66,No
466,2023-03-27,2023-05-09,successful,18,8.23,79.56,Yes
467,2023-07-04,,successful,29,19.56,56.92,No
468,2023-10-12,,successful,24,3.1,97.84,No
469,2023-08-08,,successful,15,9.03,21.3,No
470,2023-03-10,2024-01-11,successful,9,1.8,11.53,Yes
471,2023-02-16,,successful,23,15.06,79.31,No
472,2023-04-04,,successful,19,18.44,82.64,No
473,2023-08-26,,failed,9,6.32,20.82,No
474,2023-07-23,2024-03-23,successful,3,17.31,33.9,Yes
475,2023-08-06,,successful,21,6.55,11.58,No
476,2023-12-07,,successful,9,18.3,36.4,No
477,2023-02-08,,successful,28,15.33,79.58,No
478,2023-04-10,,successful,14,16.29,56.62,No
479,2023-10-16,,successful,19,1.34,41.33,No
480,2023-09-11,2024-03-23,pending,7,19.29,43.46,Yes
481,2023-08-10,,successful,16,14.81,10.12,No
482,2023-12-23,,successful,16,6.79,36.98,No
483,2023-01-23,2023-03-20,pending,28,16.76,68.18,Yes
484,2023-09-07,,successful,1,6.35,97.68,No
485,2023-01-10,,successful,4,17.58,86.24,No
486,2023-09-03,,successful,4,3.14,12.12,No
487,2023-11-21,,successful,7,14.37,90.87,No
488,2023-04-10,,failed,8,11.27,80.49,No
489,2023-10-17,2024-05-06,successful,17,2.83,80.23,Yes
490,2023-06-29,,successful,5,5.6,51.22,No
491,2023-08-11,,successful,7,1.24,45.82,No
492,2023-09-07,,failed,28,9.91,37.26,No
493,2023-05-27,,successful,20,6.72,15.91,No
494,2023-04-06,,failed,29,12.37,30.54,No
495,2023-09-14,,successful,20,6.65,32.19,No
496,2023-11-21,2024-06-18,successful,4,6.7,53.57,Yes
497,2023-01-04,,successful,28,15.12,77.27,No
498,2023-01-16,2023-07-13,successful,6,1.91,52.64,Yes
499,2023-10-07,,successful,7,18.16,15.21,No
500,2023-12-02,,successful,18,17.19,96.2,No
